"longitude","latitude","ind_land","trendMax"
-37.5,-90,1,2.59552033242505
-36.25,-90,1,2.44746118016646
-35,-90,1,2.55938646651583
-33.75,-90,1,2.49987159184908
-32.5,-90,1,2.59871513486648
-31.25,-90,1,2.5048449001977
-30,-90,1,2.82052895995083
-28.75,-90,1,2.60619148954925
-27.5,-90,1,2.60166455901376
-26.25,-90,1,2.58561623452253
-25,-90,1,2.57581302749719
-23.75,-90,1,2.74145903797023
-22.5,-90,1,2.57904930575394
-21.25,-90,1,2.44023835640022
-20,-90,1,2.56776454644789
-18.75,-90,1,2.55407639749216
-17.5,-90,1,2.5154575809418
-16.25,-90,1,2.64248988546344
-15,-90,1,2.4169176666196
-13.75,-90,1,2.41679662885688
-12.5,-90,1,2.5656996905384
-11.25,-90,1,2.54845381706542
-10,-90,1,2.5210361997856
-8.75,-90,1,2.35503729722252
-7.5,-90,1,2.57231038967711
-6.25,-90,1,2.54796507690455
-5,-90,1,2.39157644755528
-3.75,-90,1,2.54689588392472
-2.5,-90,1,2.50068951370119
-1.25,-90,1,2.60454415568834
0,-89.0575942993164,1,2.62792563378659
1.25,-89.0575942993164,1,2.83726994446451
2.5,-89.0575942993164,1,2.95090649931361
3.75,-89.0575942993164,1,2.55825342581196
5,-89.0575942993164,1,2.83547967027264
6.25,-89.0575942993164,1,2.83068978724
7.5,-89.0575942993164,1,2.43395014650102
8.75,-89.0575942993164,1,2.89545255197311
10,-89.0575942993164,1,2.78748620694469
11.25,-89.0575942993164,1,2.82050855232009
12.5,-89.0575942993164,1,2.76572890856396
13.75,-89.0575942993164,1,2.81046036680954
15,-89.0575942993164,1,2.88838935620855
16.25,-89.0575942993164,1,2.84270378038037
17.5,-89.0575942993164,1,2.74028250502409
18.75,-89.0575942993164,1,2.76317475623747
20,-89.0575942993164,1,2.70358252726334
21.25,-89.0575942993164,1,2.71921117421466
22.5,-89.0575942993164,1,2.73371248208306
23.75,-89.0575942993164,1,2.60319857315969
25,-89.0575942993164,1,2.9990347155842
26.25,-89.0575942993164,1,2.75228288728299
27.5,-89.0575942993164,1,2.70199255727087
28.75,-89.0575942993164,1,2.50633644769758
30,-89.0575942993164,1,2.42543534934858
31.25,-89.0575942993164,1,2.41596965046657
32.5,-89.0575942993164,1,2.58864386474438
33.75,-89.0575942993164,1,2.48161534943647
35,-89.0575942993164,1,2.27229271534772
36.25,-89.0575942993164,1,2.43924554428076
37.5,-89.0575942993164,1,2.58712092356364
38.75,-89.0575942993164,1,2.35854914802762
40,-89.0575942993164,1,2.31935399842711
41.25,-89.0575942993164,1,2.39652766212296
42.5,-89.0575942993164,1,2.35768288407895
43.75,-89.0575942993164,1,2.69670880609494
45,-89.0575942993164,1,1.68710829864514
46.25,-89.0575942993164,1,1.80116168022364
47.5,-89.0575942993164,1,1.99141534756192
48.75,-89.0575942993164,1,2.70032161730889
50,-89.0575942993164,1,2.33944386820981
51.25,-89.0575942993164,1,2.74584144632264
52.5,-89.0575942993164,1,2.75900429868841
53.75,-89.0575942993164,1,2.77532932562223
55,-89.0575942993164,1,2.76759022703806
56.25,-89.0575942993164,1,2.77279752782173
57.5,-89.0575942993164,1,2.62792636387223
58.75,-89.0575942993164,1,2.34488792532418
60,-89.0575942993164,1,2.80734269269696
61.25,-89.0575942993164,1,2.28972987124794
62.5,-89.0575942993164,1,2.50532390588402
63.75,-89.0575942993164,1,2.50834661671932
65,-89.0575942993164,1,2.48729225170856
66.25,-89.0575942993164,1,2.80164364449497
67.5,-89.0575942993164,1,2.40460494678747
68.75,-89.0575942993164,1,2.45367660748439
70,-89.0575942993164,1,2.66183091339853
71.25,-89.0575942993164,1,2.73853704418186
72.5,-89.0575942993164,1,2.81375729432
73.75,-89.0575942993164,1,2.79368480752754
75,-89.0575942993164,1,2.80949390730358
76.25,-89.0575942993164,1,2.73619275669976
77.5,-89.0575942993164,1,2.69495374984204
78.75,-89.0575942993164,1,2.44696145395552
80,-89.0575942993164,1,2.55405018394261
81.25,-89.0575942993164,1,2.27684445141053
82.5,-89.0575942993164,1,2.56819559246358
83.75,-89.0575942993164,1,2.55638442405606
85,-89.0575942993164,1,2.46768121378212
86.25,-89.0575942993164,1,2.57265217403636
87.5,-89.0575942993164,1,2.36943482863767
88.75,-89.0575942993164,1,2.16880494137494
90,-89.0575942993164,1,2.39147472229484
91.25,-89.0575942993164,1,2.4361092008362
92.5,-89.0575942993164,1,2.46162765687186
93.75,-89.0575942993164,1,2.46466163188506
95,-89.0575942993164,1,2.3415108969934
96.25,-89.0575942993164,1,2.37974196855779
97.5,-89.0575942993164,1,2.28740873790908
98.75,-89.0575942993164,1,2.34752579413285
100,-89.0575942993164,1,2.48703157638292
101.25,-89.0575942993164,1,2.61618768253527
102.5,-89.0575942993164,1,2.30025770561548
103.75,-89.0575942993164,1,2.50033128503304
105,-89.0575942993164,1,2.5272889657671
106.25,-89.0575942993164,1,2.66314291198959
107.5,-89.0575942993164,1,2.6019838845493
108.75,-89.0575942993164,1,2.32098346257375
110,-89.0575942993164,1,2.57398710079195
111.25,-89.0575942993164,1,2.62399678242233
112.5,-89.0575942993164,1,2.53199474989177
113.75,-89.0575942993164,1,2.38816044655975
115,-89.0575942993164,1,2.33970165795898
116.25,-89.0575942993164,1,2.35367617430024
117.5,-89.0575942993164,1,2.5164835771902
118.75,-89.0575942993164,1,2.10829515124706
120,-89.0575942993164,1,2.49057841914798
121.25,-89.0575942993164,1,2.45421226433668
122.5,-89.0575942993164,1,2.39186246728094
123.75,-89.0575942993164,1,2.41497756843271
125,-89.0575942993164,1,2.49502283262754
126.25,-89.0575942993164,1,2.31735281641135
127.5,-89.0575942993164,1,2.44226078043003
128.75,-89.0575942993164,1,2.25982382672889
130,-89.0575942993164,1,2.23706067898556
131.25,-89.0575942993164,1,2.16364460943175
132.5,-89.0575942993164,1,2.44341836591649
133.75,-89.0575942993164,1,2.3678658920638
135,-89.0575942993164,1,2.70373455889803
136.25,-89.0575942993164,1,2.48450556711816
137.5,-89.0575942993164,1,2.42477460449659
138.75,-89.0575942993164,1,2.28307411539764
140,-89.0575942993164,1,2.36134436766621
141.25,-89.0575942993164,1,2.35680335690846
142.5,-89.0575942993164,1,2.34802195683078
143.75,-89.0575942993164,1,2.48095359637101
145,-89.0575942993164,1,2.37135627487579
146.25,-89.0575942993164,1,2.5123429314697
147.5,-89.0575942993164,1,2.12378310027324
148.75,-89.0575942993164,1,2.26485628939397
150,-89.0575942993164,1,2.07918423947945
151.25,-89.0575942993164,1,2.35148410966601
152.5,-89.0575942993164,1,1.91518636248488
153.75,-89.0575942993164,1,1.96381418328521
155,-89.0575942993164,1,2.2826401838057
156.25,-89.0575942993164,1,2.01601255724986
157.5,-89.0575942993164,1,2.26090372763067
158.75,-89.0575942993164,1,2.24940726088349
160,-89.0575942993164,1,2.24160758257718
161.25,-89.0575942993164,1,1.9141151183122
162.5,-89.0575942993164,1,2.10473506264324
163.75,-89.0575942993164,1,2.20032138090039
165,-89.0575942993164,1,2.03467085084991
166.25,-89.0575942993164,1,1.9702146003881
167.5,-89.0575942993164,1,2.20097089634029
168.75,-89.0575942993164,1,2.22623361381961
170,-89.0575942993164,1,2.24537699715263
171.25,-89.0575942993164,1,2.20546271323495
172.5,-89.0575942993164,1,2.21797358177603
173.75,-89.0575942993164,1,1.79716350549331
175,-89.0575942993164,1,2.12933317624679
176.25,-89.0575942993164,1,1.85809252120326
177.5,-89.0575942993164,1,1.75339840245581
178.75,-89.0575942993164,1,2.17449053514246
180,-89.0575942993164,1,2.11328507773456
-178.75,-89.0575942993164,1,2.10151672363271
-177.5,-89.0575942993164,1,2.11276927225737
-176.25,-89.0575942993164,1,2.06154495416559
-175,-89.0575942993164,1,1.78369299157872
-173.75,-89.0575942993164,1,2.03475265520319
-172.5,-89.0575942993164,1,2.10405844712107
-171.25,-89.0575942993164,1,2.2306130322978
-170,-89.0575942993164,1,1.83287355671123
-168.75,-89.0575942993164,1,1.88713251036973
-167.5,-89.0575942993164,1,1.77969987529851
-166.25,-89.0575942993164,1,2.08486508769042
-165,-89.0575942993164,1,2.02876087744093
-163.75,-89.0575942993164,1,1.70422724152127
-162.5,-89.0575942993164,1,1.8902259873593
-161.25,-89.0575942993164,1,1.82441050872138
-160,-89.0575942993164,1,1.80586263187692
-158.75,-89.0575942993164,1,1.62733502582473
-157.5,-89.0575942993164,1,1.99983255660562
-156.25,-89.0575942993164,1,1.74569874587697
-155,-89.0575942993164,1,2.0279308917935
-153.75,-89.0575942993164,1,2.08066666090954
-152.5,-89.0575942993164,1,2.02289074584647
-151.25,-89.0575942993164,1,2.018281437319
-150,-89.0575942993164,1,1.83236437415329
-148.75,-89.0575942993164,1,1.95979881677734
-147.5,-89.0575942993164,1,1.89262897720041
-146.25,-89.0575942993164,1,2.00942791521366
-145,-89.0575942993164,1,1.80425096791266
-143.75,-89.0575942993164,1,2.0838519374719
-142.5,-89.0575942993164,1,1.69875556283512
-141.25,-89.0575942993164,1,1.86094588694526
-140,-89.0575942993164,1,1.69207220279589
-138.75,-89.0575942993164,1,2.01028553981609
-137.5,-89.0575942993164,1,1.74494129944892
-136.25,-89.0575942993164,1,1.95838439760624
-135,-89.0575942993164,1,1.72772094420619
-133.75,-89.0575942993164,1,1.69101877618846
-132.5,-89.0575942993164,1,2.02609250148394
-131.25,-89.0575942993164,1,1.55921125987806
-130,-89.0575942993164,1,1.52278282181164
-128.75,-89.0575942993164,1,1.68778373212413
-127.5,-89.0575942993164,1,1.9510396669274
-126.25,-89.0575942993164,1,1.94291499623066
-125,-89.0575942993164,1,2.08668539968975
-123.75,-89.0575942993164,1,2.02371400427667
-122.5,-89.0575942993164,1,1.70064996113989
-121.25,-89.0575942993164,1,1.91425447774714
-120,-89.0575942993164,1,2.10050857971561
-118.75,-89.0575942993164,1,1.71615640566811
-117.5,-89.0575942993164,1,1.79973222476569
-116.25,-89.0575942993164,1,1.74619888927969
-115,-89.0575942993164,1,1.84387733735872
-113.75,-89.0575942993164,1,1.82801203837451
-112.5,-89.0575942993164,1,1.17966541317222
-111.25,-89.0575942993164,1,1.6970063125009
-110,-89.0575942993164,1,1.96584258706407
-108.75,-89.0575942993164,1,2.07497767745883
-107.5,-89.0575942993164,1,1.91596120928643
-106.25,-89.0575942993164,1,1.93759394115717
-105,-89.0575942993164,1,1.63526851839182
-103.75,-89.0575942993164,1,1.80956016778656
-102.5,-89.0575942993164,1,2.09101273872817
-101.25,-89.0575942993164,1,1.8886214851871
-100,-89.0575942993164,1,1.93867252095183
-98.75,-89.0575942993164,1,2.02042738487944
-97.5,-89.0575942993164,1,1.04842705073664
-96.25,-89.0575942993164,1,2.11716506551245
-95,-89.0575942993164,1,2.09415539219793
-93.75,-89.0575942993164,1,1.85828847965526
-92.5,-89.0575942993164,1,2.07586584397551
-91.25,-89.0575942993164,1,2.11681973502316
-90,-89.0575942993164,1,2.14769303866567
-88.75,-89.0575942993164,1,2.20771568786801
-87.5,-89.0575942993164,1,2.42956683423318
-86.25,-89.0575942993164,1,2.19183321448936
-85,-89.0575942993164,1,2.3196277457615
-83.75,-89.0575942993164,1,2.14816524760271
-82.5,-89.0575942993164,1,1.69237457991582
-81.25,-89.0575942993164,1,2.16301743113432
-80,-89.0575942993164,1,2.39275902978218
-78.75,-89.0575942993164,1,2.15101338106436
-77.5,-89.0575942993164,1,2.22175050580313
-76.25,-89.0575942993164,1,2.29866848309176
-75,-89.0575942993164,1,2.34859347479247
-73.75,-89.0575942993164,1,2.48722995107063
-72.5,-89.0575942993164,1,2.35263091769834
-71.25,-89.0575942993164,1,2.47556393063392
-70,-89.0575942993164,1,2.17404892026853
-68.75,-89.0575942993164,1,2.18441060801304
-67.5,-89.0575942993164,1,1.81463600101318
-66.25,-89.0575942993164,1,2.21445489945555
-65,-89.0575942993164,1,2.08495989452037
-63.75,-89.0575942993164,1,2.37225930384929
-62.5,-89.0575942993164,1,2.12421550216208
-61.25,-89.0575942993164,1,2.30846518887874
-60,-89.0575942993164,1,2.30170195399825
-58.75,-89.0575942993164,1,2.28545734077848
-57.5,-89.0575942993164,1,2.30617165972903
-56.25,-89.0575942993164,1,2.60339235873768
-55,-89.0575942993164,1,2.54519730500798
-53.75,-89.0575942993164,1,2.28931739026646
-52.5,-89.0575942993164,1,2.19048777102437
-51.25,-89.0575942993164,1,2.25765044880935
-50,-89.0575942993164,1,2.27229598334982
-48.75,-89.0575942993164,1,2.26247848750626
