"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-97.875,27.375,16.9,4.76131886847802,16.9,3.29212628660779,-110.427771969196,-29.3051736536638
-97.625,27.375,4.1,4.64535197562092,4.1,2.64617479738412,-110.177380705594,-29.3109834797193
-82.375,27.375,13.7,4.73356340075649,13.7,3.16547504814109,-94.9467152529035,-28.3642244895392
-82.125,27.375,16.1,4.75445188870385,16.1,3.26193531432865,-94.6989710957603,-28.3274498846051
-81.875,27.375,18.2,4.772378104972,18.2,3.33932197794407,-94.451329042064,-28.2899938809774
-81.625,27.375,27.6,4.84890037091069,27.6,3.62700405039585,-94.2037909659387,-28.2518567621185
-81.375,27.375,25.1,4.82911341747287,25.1,3.55820113047182,-93.9563587407216,-28.2130388166452
-81.125,27.375,14.4,4.7397010789457,14.4,3.19458313229916,-93.7090342389486,-28.173540338327
-80.875,27.375,8.2,4.68398136641238,8.2,2.90142159408275,-93.4618193323408,-28.1333616260834
-80.625,27.375,8.3,4.68490515400694,8.3,2.90690105984738,-93.2147158917895,-28.0925029839818
-80.375,27.375,5.2,4.65586330030361,5.2,2.72129542785223,-92.9677257873426,-28.0509647212354
-99.375,27.625,171.2,5.60285655606624,171.2,5.19960139360888,-111.918119406817,-28.9741641021075
-99.125,27.625,168.8,5.59396760864899,168.8,5.18626786273941,-111.668633102654,-28.9840750884047
-98.875,27.625,219.5,5.76675727381759,219.5,5.4359030295006,-111.41912047766,-28.9932997067509
-98.625,27.625,187.2,5.66017883717407,187.2,5.28421844216853,-111.169583420118,-29.0018378873355
-98.375,27.625,126.5,5.42274494492309,126.5,4.91632461462501,-110.920023818491,-29.0096895655426
-98.125,27.625,60.6,5.07891680151266,60.6,4.2570301444992,-110.670443561417,-29.0168546819516
-97.875,27.625,24.6,4.82510860635335,24.6,3.54385368206368,-110.420844537686,-29.0233331823379
-97.625,27.625,12.7,4.72472942104573,12.7,3.12236492448736,-110.171228636233,-29.029125017673
-97.375,27.625,4.6,4.65014355163082,4.6,2.68102152871429,-109.92159774612,-29.034230144125
-82.375,27.625,6.8,4.67095792652609,6.8,2.82137888640921,-94.9877264963455,-28.0852977635056
-82.125,27.625,37.9,4.92652878479926,37.9,3.86911550441687,-94.740749504315,-28.0486370348956
-81.875,27.625,34.8,4.90379219847821,34.8,3.80220813942094,-94.4938742995576,-28.0112970176127
-81.625,27.625,23.1,4.81299703319041,23.1,3.49953328238302,-94.247102750394,-27.9732779942416
-81.375,27.625,19.8,4.78582368568135,19.8,3.39450839351136,-94.0004367243605,-27.9345802525053
-81.125,27.625,14,4.7361984483945,14,3.17805383034795,-93.7538780881945,-27.8952040852637
-80.875,27.625,20.9,4.79496375762075,20.9,3.4307561839037,-93.507428707821,-27.8551497905105
-80.625,27.625,7.2,4.6746962486367,7.2,2.84490938381941,-93.261090448338,-27.8144176713717
-80.375,27.625,0,4.60517018598809,0,2.30258509299405,-93.0148651740025,-27.7730080361029
-99.875,27.875,168.4,5.59247840509753,168.4,5.18402822014591,-112.403888331132,-28.6708947895361
-99.625,27.875,175.2,5.61749810605919,175.2,5.22143632221208,-112.155234474979,-28.6821432612846
-99.375,27.875,176.4,5.62184909189352,176.4,5.22789490225149,-111.906550615459,-28.6927076500644
-99.125,27.875,131.9,5.44630624426149,131.9,4.955122584166,-111.657838634579,-28.7025878759257
-98.875,27.875,115.8,5.37435205282403,115.8,4.83469334426634,-111.409100414561,-28.711783864096
